Número Mesa,País,Departamento,Provincia,Municipio,Localidad,Recinto,Inscritos,CC,FPV,MTS,UCS,MAS - IPSP,21F,PDC,MNR,PAN-BOL,Votos Válidos,Blancos,Nulos
1001,Alemania,Berlín,Berlín,Berlín,Berlín,Embajada,237,129,0,3,0,37,0,1,1,2,173,1,0
1002,Alemania,Berlín,Berlín,Berlín,Berlín,Embajada,50,35,0,0,0,5,0,0,0,0,40,0,0
1003,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,235,52,0,1,1,59,2,9,0,0,124,0,4
1004,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,238,42,0,0,0,59,2,6,1,1,111,0,3
1005,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,237,33,0,0,1,70,1,9,0,0,114,0,9
1006,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,236,39,0,0,0,68,3,6,1,0,117,4,6
1007,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,240,53,0,2,2,73,1,7,0,0,138,0,1
1008,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,234,37,0,1,0,72,1,3,0,2,116,1,3
1009,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,234,33,0,0,2,70,0,8,1,1,115,0,3
1010,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,239,46,0,1,2,63,2,4,0,1,119,1,5
1011,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,236,50,0,2,0,58,1,6,0,2,119,0,2
1012,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,234,42,0,0,1,70,0,5,0,2,120,0,2
1013,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,236,41,0,1,0,55,1,6,0,1,105,0,6
1014,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,237,57,0,1,0,63,1,4,0,1,127,0,4
1015,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común Nº 16 Presidente Bartolome Mitre,122,20,0,0,0,40,0,0,1,0,61,0,2
1016,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,236,53,2,0,0,69,2,9,0,0,135,0,7
1017,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,237,30,0,1,2,81,4,4,1,1,124,2,0
1018,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,237,52,0,0,2,73,3,5,1,0,136,0,4
1019,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,239,47,0,0,0,71,0,5,0,1,124,2,4
1020,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,238,35,0,0,2,82,2,4,0,1,126,0,4
1021,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,237,41,0,1,1,81,2,4,0,0,130,1,2
1022,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,238,62,0,0,0,59,2,2,1,0,126,0,4
1023,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón,238,31,0,0,1,72,4,4,0,1,113,1,5
1024,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,237,34,0,0,0,65,1,2,1,2,105,1,0
1025,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,235,35,0,0,0,64,0,8,0,3,110,1,1
1026,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,236,26,0,1,0,60,3,2,0,3,95,0,0
1027,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,235,33,0,0,0,62,3,4,0,0,102,1,2
1028,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,236,23,1,2,0,70,2,9,0,1,108,0,3
1029,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,238,48,0,0,1,51,2,7,0,0,109,0,1
1030,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ,116,18,0,1,0,27,0,4,0,1,51,0,0
1031,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. De Educación Media N° 02/13° Escuela del Parque,240,24,0,4,0,101,1,4,0,0,134,1,1
1032,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. De Educación Media N° 02/13° Escuela del Parque,236,8,0,2,0,109,0,6,0,2,127,1,5
1033,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. De Educación Media N° 02/13° Escuela del Parque,238,17,0,2,0,110,0,5,0,1,135,0,5
1034,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. De Educación Media N° 02/13° Escuela del Parque,237,8,0,2,0,107,1,6,0,0,124,0,8
1035,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. De Educación Media N° 02/13° Escuela del Parque,237,10,0,4,1,105,0,10,0,2,132,0,6
1036,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. De Educación Media N° 02/13° Escuela del Parque,236,11,1,0,0,111,1,6,0,0,130,1,2
1037,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. De Educación Media N° 02/13° Escuela del Parque,238,12,0,0,0,111,1,6,1,0,131,2,6
1038,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. De Educación Media N° 02/13° Escuela del Parque,239,10,1,2,1,107,1,6,0,0,128,0,9
1039,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. De Educación Media N° 02/13° Escuela del Parque,238,16,0,0,1,90,1,2,0,1,111,1,3
1040,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Esc. De Educación Media N° 02/13° Escuela del Parque,73,4,0,0,0,37,0,1,0,1,43,0,3
1041,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Colegio Nº 18 Dr. Alberto Larroque,235,20,0,3,1,104,0,7,0,1,136,0,2
1042,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Colegio Nº 18 Dr. Alberto Larroque,238,12,0,4,0,126,0,11,1,1,155,2,5
1043,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Colegio Nº 18 Dr. Alberto Larroque,238,18,0,4,0,115,0,15,0,0,152,2,2
1044,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Colegio Nº 18 Dr. Alberto Larroque,239,23,1,1,0,122,3,10,2,1,163,0,4
1045,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Colegio Nº 18 Dr. Alberto Larroque,237,22,0,0,0,112,1,8,0,3,146,1,3
1046,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Colegio Nº 18 Dr. Alberto Larroque,238,9,0,2,0,133,2,12,0,2,160,0,5
1047,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Colegio Nº 18 Dr. Alberto Larroque,236,17,1,0,1,128,2,12,0,0,161,1,5
1048,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Colegio Nº 18 Dr. Alberto Larroque,239,23,0,2,0,105,2,9,0,1,142,0,2
1049,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Colegio Nº 18 Dr. Alberto Larroque,237,25,0,0,0,105,0,11,0,5,146,1,7
1050,Argentina,Buenos Aires,Buenos Aires,C.A. Buenos Aires,C.A. Buenos Aires,Colegio Nº 18 Dr. Alberto Larroque,238,19,0,0,0,114,3,12,0,1,149,0,0
